,corpus
11,care newair stand product newair broke within first hour use manufactur cover item warranti case actual think buy newair product think twice newair sale sale newair com date fri nov subject icemak return susan ferguson xxxxx gwmail gwu edu hi susan manufactur warranti void unit purchas privat seller consent sell product reason ask copi receipt upon request warranti claim valid author dealer proceed warranti work also list author dealer web site custom use stand behind product howev item purchas privat seller purchas run risk item use open box refurbish scratch dent one year limit manufactur warranti valid new item sold author onlin dealer unfortun see situat howev need contact seller item replac refund great day mireya custom support newair east chapman ave orang ca ph em sale newair com fb facebook com newairusa twitter newairusa pinterest pinterest com newairusa instagram newairusa web made awesom thu nov pm susan ferguson xxxxx gwmail gwu edu wrote hello mireya sorri thought manufactur warranti manufactur newair pleas explain warranti valid case see anywher warranti exclus warranti valid purchas author dealer addit consum would never know author dealer compani sell product implicitli make author sincer hope newair reconsid posit stand integr product ice machin liter use four hour fail quit frankli egregi compani negat warranti explicitli state repair replac defect materi workmanship one year pleas let know talk disput depart regard matter look forward respons refrain give review product matter resolv thank susan ferguson thu nov pm newair sale sale newair com wrote hi susan unfortun ice maker purchas author dealer need contact seller mehadrin amazon exist issu unit great day mireya custom support newair east chapman ave orang ca ph em sale newair com fb facebook com newairusa twitter newairusa pinterest pinterest com newairusa instagram newairusa web made awesom thu nov pm susan ferguson xxxxxxxxx gwmail gwu edu wrote hello receiv ai icemak march use one time within hour cool unit shut best estim pump still work water get pump cool mechan plug unit back tri hour later cool mechan never turn sinc product still warranti hope acquir new unit sinc particular one essenti never use obvious faulti capac attach receipt refer purchas gift amazon marketplac thank much look forward respons susan ferguson
12,would give less star possibl dont buy product ice machin stop work four hour use first time notifi new air state would honor one year warranti author dealer sell bought product amazon never even thought would cross check purchas manufactur newair stand product use method get honor warranti piec junk never buy anoth newair product
13,would give less star possibl dont buy product ice machin stop work four hour use first time notifi new air state would honor one year warranti author dealer sell bought product amazon never even thought would cross check purchas manufactur newair stand product use method get honor warranti piec junk never buy anoth newair product
14,great product
15,job fix maytag dryer
16,cheap
17,great deal fast ship
18,fine product advertis
19,receiv ok
20,spare thermofus two year ago dryer spun heat got servic tech undid back chang second decid price order spare case
21,sinc motor humidifi still work run vinegar twice replac filter oper good new least filter import reduc realli fine white dust advertis way look old use filter know replac way one use two season
22,cook blue moon shock see littl use rang grate look like heavi use year call jenn air spoke adam exchang fix offer price anyway internet realli compar much els rang sinc use much much cook stainless steel tend rust stain got stainless steel fridg dishwash time brand seem stainless steel issu
23,like unit deduct one star limit view angl view side top bottom display becom much difficult read nearli clear product photo display also rather glossi want reflect someth bright like window
24,great need
25,connect match modidifi work
26,consid wisdom spend lot money replac part year old washer origin bought one cheaper part could see get one mayb agit dog motor coupl problem motor clutch timer electr part might want think get anoth top loader like amana stop carri store year
27,see origin remark made mistak buy dealer problem differ machin save money
28,ok part
29,receiv ok
30,work expect qualiti ge product water tast good would recommend buy
31,one effect water filter use state gallon servic capac least use amount without issu chang filter flow act funni first half gallon normal filter produc cloudi look water first gallon one issu filter far simplest secur easiest filter instal experienc also find better deal anywher els includ manufactur site tri sell singl singl sometim pack three anoth filter keep buy hefti price easi instal
32,work great best price could find internest ship quickli problem buy month need anoth one
33,great littl tool use use bigger dewalt unit nice bigger heavier need hitachi abl dewalt also impress fast batteri charg minut build qualiti seem excel come bit see photo upload two batteri charger plastic case led light plu note though two speed like older dewalt drive speed drill speed hitachi may bit slow drill
34,cook blue moon shock see littl use rang grate look like heavi use year call jenn air spoke adam exchang fix offer price anyway internet realli compar much els rang sinc use much much cook stainless steel tend rust stain got stainless steel fridg dishwash time brand seem stainless steel issu
35,use namebrand filter believ get pay use filter year suit need
36,great product need includ rod kit buy second set rod still enough ill end spend dollar kit terribl factor would get charg town still plastic rod brush attach that overpr someth simpl enough complain overpr get review work great idiot use common sens use alway clockwis alway clockwis cant anymor clear use electr tape duct tape backup case screw number good safeti measur take second per rod wrap tape feed one rod time tape one go dont forc rod get resist drill attach get resist remov drill rod use hand wiggl shift rod get past resist reconnect drill continu like reach resist like one two thing larg bend duct lot blockag number start pull rod without drill attach drill remain attach rememb alway spin clockwis youv probabl hit patch lint clog heavili one area pull rod like pull larg portion lint youv broken loos rod brush attach vacuum blow leaf blower start disconnect rod step take time hand feed rod brush back ensur damag rod youv reach end vent start pull rod way went clockwis catch debri might miss initi clean push brush time total differ side vent sinc short rod use leaf blower time ensur push lint exterior hous never blow leaf blower hous blow outsid hous unless want huge mess hous lastli id recommend use face mask respir mask stuff messi know what grow cheap carpentri mask use better version next time clean fun breath
37,bought last octob final got around clean foot dryer duct run type thing top list like wow go see movi clean dryer duct howev dryer dri slower slower knew task need tackl read long instruct book began work instruct realli need written simplifi soni tv smaller instruct manual appreci manufactur thorough short attent span quick start guid screw rod togeth use electr duct tape reinforc joint keep unscrew work stick one end rod drill set clutch pretti close lowest second lowest set increas power need attach brush end rod suppli key wrench allen wrench tighten make sure drill clockwis revers mode els rod unscrew insid duct screw read turn dryer air mode insert brush pipe outsid begin spin activ drill push foot pull watch lint fli push feet pull watch lint fli feet etc marvel much lint came marvel fast dryer come write review wash cloth wear cover lint hope help quick job well worth troubl
38,review gardu rle linteat piec rotari dryer vent clean system weve pay per visit servic guy applianc store come everi month clean flexibl duct that rout less optim manner due locat varieti road block dryer outsid wall knew time come clean cloth dri well right near end realli need clean would actual water floor dryer use vacat day lose recent home first time came watch process thought that research linteat pretti clearli way go made purchas youv got love amazon prime like product weigh number posit review hand bad one bad review like peopl mechan challeng read manual watch youtub video get idea process work pictur twist rod someon one speed high clutch high use clutch drill push impass bend obstruct vent pipe disconnect broke vent pipe rod cant come apart run drill clockwis that simpl physic simpli cant come apart use clockwis brush head broke strip go like twist rod speed high clutch high use clutch drill push impass bend obstruct vent pipe clockwis go back vent tube cordless drill ridgid model r clutch goe switch mark overal speed set clutch four speed one drill hole drive screw go hard fast slow easi win particular race put red loctit thread locker thread attach rotari brush head rod set screw ad section tighten pair plier section wrap electr tape coupl time around join section common sens insur disast femal end rod go drill chuck knurl problem spin chuck slow speed minim torqu probabl issu note think id need extra rod extens came back order get done half insid hous half outsid insid hous vent pipe disconnect dryer use vent insert vent pipe end ridgid hp shop vac clean tool rod provid hole insert work fantast well clean vac filter coupl time due lint outsid hous bother vacuum figur bird would get whatev lint found element would break pretti quickli turn dryer blow loosen lint clean pipe wear googl someth keep lint dust eye go
39,first thing first work kit great consist price right think call someon clean dryer vent got quot way buck abl need invest bit construct vacuum cost buck start save basic second time what brush broke insid vent pull ye use drill piec came except round brush climb attic push side come suppos easi task end spend hour extra climb attic disassembl hvac pipe get push brush anoth minu kit fairli bendi go smoothli flexibl insul pipe like push pipe connector said vent duct doesnt mani bend want take risk mayb defect kit brush broke might save lot money
40,work great use extens kit extra rod clean foot long vent two right angl turn fantast job adapt let put rod attach shop vac got ton lint gallon bucket full insid vent left shini clean good safeti especi long vent surpris dryer actual work quit bit better auto cycl use run dri heavi thing like jean blanket comfort etc fulli dri thing one cycl take less time go auto dri cycl want clean potenti fire hazard realli make big differ run dirti vent vs clean one might due long length vent happi product
41,lint eater amaz recent bought hous built previous own older ladi assum dryer vent never clean set dryer want give vent line thorough clean safeti sake help dryer run effici possibl well glad exterior cover vent gone time amount leav pine needl plu lint wad got shock seem like everi time ran linteat line dislodg anoth fist size wad stuff first hook shop vac insid hous went vent exit almost zero air get suck wad huge kept stop shop vac hose keep go insid clean said done vent line free flow work good new glad spent money product help tip start jam rod togeth tri work vent line way unwieldi way everi time hit power drill rod get kink knot flexibl start one one get way vent line add anoth repeat necessari much easier time
42,first contrapt littl confus read direct time felt okay go project fulli confid lot warn make sure drill go right way turn right way lose rod dryer vent scare littl howev project turn realli well lose rod thank got bird nest taken resid dryer vent part lint catcher conveni well actual recommend use least month order clean lint catcher need keep conveni put togeth tape rod time realli use coupl minut howev handi space keep alreadi togeth see would even better keep clean lint
43,anyon think problem lint look pictur hous year old came vent even includ clean dryer filter dryer unit product easi use definit suggest tape junction make sure separ vent broke clean clean fist clean brush first extens ensur section clean ad second forth brush came clean given length brush four section found easier anoth set hand guid brush vent set oper drill notic turn dryer back lint dislodg blew outsid vent open unfortun case lodg slat keep vent open fulli close make trip ladder ground dri littl remov piec littl price pay clean vent
44,foot solid dryer vent pipe end right angl go floor flexibl dryer vent hose come dryer get behind dryer without move washer dryer heavi lazi decid clean vent outsid hous inward use vacuum cleaner blower suction kind tighten section tube plier tape thread foot tube brush end outsid vent back got good amount lint clod turn dryer blow everyth got air come fear come true forc gob lint right angl end run still want move washer dryer figur tri one thing use clodbust attach realli get lazi tighten tube section hand plier use tape push foot tube vent hit resist turn tube hand lazi hook drill pull lint came resign move washer dryer figur might well turn dryer see happen lot lint clod blew kept come second attach pictur realli happi product work shortcut took probabl work great point refer built hous five year ago first time ever clean vent load ten bath towel use take minut dri late take hour knew put clean pipe longer
45,complet kit clean dryer vent necessari thing check product best deal time got
46,life come year old review dryer vent cleaner sit kitchen tabl wait american idol envis tell much kid think happen sorri burst bubbl said product work great dryer pretti much stop work think need new one serious go eat plastic surgeri budget one last shot trip applianc store gardu linteat husband handi one famili work torn labrum sound dirtier part shoulder clumsiest man world absolut problem use warn read direct first actual listen follow hook drill away went got bunch musti wet lint probabl insid wall sinc probabl consist bell bottom materi macram dryer actual dri cloth continu save facelift thank gardu
47,use today go roof pro work great clean lint almost fun use see lint come come short help dvd english french almost gave star con think star appropri con care care purpos accident put drill revers brush head detach unscrew care set drill clutch half maximum set rod may break much torqu wonder possibl rod break brush unscrew wonder tough thing seem decent would confid seem well built instead decent see photo upload surpris much lint came year old enjoy watch dvd went exhaust roof dryer blow cool air
48,bought new rang hood found need filter come look home depot dollar use amazon prime door within day fit perfectli new hood
49,
50,fit perfectli
51,move new apt need dryer vent hose fit bill compress clamp made instal snap
52,nice product
53,fit perfectli
54,easi instal dryer
55,
56,use clamp rather use screw clamp fit well proper height
57,must washer
58,use hose replac origin equip rubber hose previou experi hose gave peac mind would away home extend vacat expect year leak free use
59,hose includ machin need otherwis would fine
60,sinc motor humidifi still work run vinegar twice replac filter oper good new least filter import reduc realli fine white dust advertis way look old use filter know replac way one use two season
61,cook blue moon shock see littl use rang grate look like heavi use year call jenn air spoke adam exchang fix offer price anyway internet realli compar much els rang sinc use much much cook stainless steel tend rust stain got stainless steel fridg dishwash time brand seem stainless steel issu
62,like unit deduct one star limit view angl view side top bottom display becom much difficult read nearli clear product photo display also rather glossi want reflect someth bright like window
63,great need
64,connect match modidifi work
65,consid wisdom spend lot money replac part year old washer origin bought one cheaper part could see get one mayb agit dog motor coupl problem motor clutch timer electr part might want think get anoth top loader like amana stop carri store year
66,see origin remark made mistak buy dealer problem differ machin save money
67,ok part
68,receiv ok
69,work expect qualiti ge product water tast good would recommend buy
70,one effect water filter use state gallon servic capac least use amount without issu chang filter flow act funni first half gallon normal filter produc cloudi look water first gallon one issu filter far simplest secur easiest filter instal experienc also find better deal anywher els includ manufactur site tri sell singl singl sometim pack three anoth filter keep buy hefti price easi instal
71,work great best price could find internest ship quickli problem buy month need anoth one
72,great littl tool use use bigger dewalt unit nice bigger heavier need hitachi abl dewalt also impress fast batteri charg minut build qualiti seem excel come bit see photo upload two batteri charger plastic case led light plu note though two speed like older dewalt drive speed drill speed hitachi may bit slow drill
73,cook blue moon shock see littl use rang grate look like heavi use year call jenn air spoke adam exchang fix offer price anyway internet realli compar much els rang sinc use much much cook stainless steel tend rust stain got stainless steel fridg dishwash time brand seem stainless steel issu
74,use namebrand filter believ get pay use filter year suit need
75,great product need includ rod kit buy second set rod still enough ill end spend dollar kit terribl factor would get charg town still plastic rod brush attach that overpr someth simpl enough complain overpr get review work great idiot use common sens use alway clockwis alway clockwis cant anymor clear use electr tape duct tape backup case screw number good safeti measur take second per rod wrap tape feed one rod time tape one go dont forc rod get resist drill attach get resist remov drill rod use hand wiggl shift rod get past resist reconnect drill continu like reach resist like one two thing larg bend duct lot blockag number start pull rod without drill attach drill remain attach rememb alway spin clockwis youv probabl hit patch lint clog heavili one area pull rod like pull larg portion lint youv broken loos rod brush attach vacuum blow leaf blower start disconnect rod step take time hand feed rod brush back ensur damag rod youv reach end vent start pull rod way went clockwis catch debri might miss initi clean push brush time total differ side vent sinc short rod use leaf blower time ensur push lint exterior hous never blow leaf blower hous blow outsid hous unless want huge mess hous lastli id recommend use face mask respir mask stuff messi know what grow cheap carpentri mask use better version next time clean fun breath
76,bought last octob final got around clean foot dryer duct run type thing top list like wow go see movi clean dryer duct howev dryer dri slower slower knew task need tackl read long instruct book began work instruct realli need written simplifi soni tv smaller instruct manual appreci manufactur thorough short attent span quick start guid screw rod togeth use electr duct tape reinforc joint keep unscrew work stick one end rod drill set clutch pretti close lowest second lowest set increas power need attach brush end rod suppli key wrench allen wrench tighten make sure drill clockwis revers mode els rod unscrew insid duct screw read turn dryer air mode insert brush pipe outsid begin spin activ drill push foot pull watch lint fli push feet pull watch lint fli feet etc marvel much lint came marvel fast dryer come write review wash cloth wear cover lint hope help quick job well worth troubl
77,review gardu rle linteat piec rotari dryer vent clean system weve pay per visit servic guy applianc store come everi month clean flexibl duct that rout less optim manner due locat varieti road block dryer outsid wall knew time come clean cloth dri well right near end realli need clean would actual water floor dryer use vacat day lose recent home first time came watch process thought that research linteat pretti clearli way go made purchas youv got love amazon prime like product weigh number posit review hand bad one bad review like peopl mechan challeng read manual watch youtub video get idea process work pictur twist rod someon one speed high clutch high use clutch drill push impass bend obstruct vent pipe disconnect broke vent pipe rod cant come apart run drill clockwis that simpl physic simpli cant come apart use clockwis brush head broke strip go like twist rod speed high clutch high use clutch drill push impass bend obstruct vent pipe clockwis go back vent tube cordless drill ridgid model r clutch goe switch mark overal speed set clutch four speed one drill hole drive screw go hard fast slow easi win particular race put red loctit thread locker thread attach rotari brush head rod set screw ad section tighten pair plier section wrap electr tape coupl time around join section common sens insur disast femal end rod go drill chuck knurl problem spin chuck slow speed minim torqu probabl issu note think id need extra rod extens came back order get done half insid hous half outsid insid hous vent pipe disconnect dryer use vent insert vent pipe end ridgid hp shop vac clean tool rod provid hole insert work fantast well clean vac filter coupl time due lint outsid hous bother vacuum figur bird would get whatev lint found element would break pretti quickli turn dryer blow loosen lint clean pipe wear googl someth keep lint dust eye go
78,first thing first work kit great consist price right think call someon clean dryer vent got quot way buck abl need invest bit construct vacuum cost buck start save basic second time what brush broke insid vent pull ye use drill piec came except round brush climb attic push side come suppos easi task end spend hour extra climb attic disassembl hvac pipe get push brush anoth minu kit fairli bendi go smoothli flexibl insul pipe like push pipe connector said vent duct doesnt mani bend want take risk mayb defect kit brush broke might save lot money
79,work great use extens kit extra rod clean foot long vent two right angl turn fantast job adapt let put rod attach shop vac got ton lint gallon bucket full insid vent left shini clean good safeti especi long vent surpris dryer actual work quit bit better auto cycl use run dri heavi thing like jean blanket comfort etc fulli dri thing one cycl take less time go auto dri cycl want clean potenti fire hazard realli make big differ run dirti vent vs clean one might due long length vent happi product
80,lint eater amaz recent bought hous built previous own older ladi assum dryer vent never clean set dryer want give vent line thorough clean safeti sake help dryer run effici possibl well glad exterior cover vent gone time amount leav pine needl plu lint wad got shock seem like everi time ran linteat line dislodg anoth fist size wad stuff first hook shop vac insid hous went vent exit almost zero air get suck wad huge kept stop shop vac hose keep go insid clean said done vent line free flow work good new glad spent money product help tip start jam rod togeth tri work vent line way unwieldi way everi time hit power drill rod get kink knot flexibl start one one get way vent line add anoth repeat necessari much easier time
81,first contrapt littl confus read direct time felt okay go project fulli confid lot warn make sure drill go right way turn right way lose rod dryer vent scare littl howev project turn realli well lose rod thank got bird nest taken resid dryer vent part lint catcher conveni well actual recommend use least month order clean lint catcher need keep conveni put togeth tape rod time realli use coupl minut howev handi space keep alreadi togeth see would even better keep clean lint
82,anyon think problem lint look pictur hous year old came vent even includ clean dryer filter dryer unit product easi use definit suggest tape junction make sure separ vent broke clean clean fist clean brush first extens ensur section clean ad second forth brush came clean given length brush four section found easier anoth set hand guid brush vent set oper drill notic turn dryer back lint dislodg blew outsid vent open unfortun case lodg slat keep vent open fulli close make trip ladder ground dri littl remov piec littl price pay clean vent
83,foot solid dryer vent pipe end right angl go floor flexibl dryer vent hose come dryer get behind dryer without move washer dryer heavi lazi decid clean vent outsid hous inward use vacuum cleaner blower suction kind tighten section tube plier tape thread foot tube brush end outsid vent back got good amount lint clod turn dryer blow everyth got air come fear come true forc gob lint right angl end run still want move washer dryer figur tri one thing use clodbust attach realli get lazi tighten tube section hand plier use tape push foot tube vent hit resist turn tube hand lazi hook drill pull lint came resign move washer dryer figur might well turn dryer see happen lot lint clod blew kept come second attach pictur realli happi product work shortcut took probabl work great point refer built hous five year ago first time ever clean vent load ten bath towel use take minut dri late take hour knew put clean pipe longer
84,complet kit clean dryer vent necessari thing check product best deal time got
85,life come year old review dryer vent cleaner sit kitchen tabl wait american idol envis tell much kid think happen sorri burst bubbl said product work great dryer pretti much stop work think need new one serious go eat plastic surgeri budget one last shot trip applianc store gardu linteat husband handi one famili work torn labrum sound dirtier part shoulder clumsiest man world absolut problem use warn read direct first actual listen follow hook drill away went got bunch musti wet lint probabl insid wall sinc probabl consist bell bottom materi macram dryer actual dri cloth continu save facelift thank gardu
86,use today go roof pro work great clean lint almost fun use see lint come come short help dvd english french almost gave star con think star appropri con care care purpos accident put drill revers brush head detach unscrew care set drill clutch half maximum set rod may break much torqu wonder possibl rod break brush unscrew wonder tough thing seem decent would confid seem well built instead decent see photo upload surpris much lint came year old enjoy watch dvd went exhaust roof dryer blow cool air
87,bought new rang hood found need filter come look home depot dollar use amazon prime door within day fit perfectli new hood
88,
89,fit perfectli
90,move new apt need dryer vent hose fit bill compress clamp made instal snap
91,nice product
92,fit perfectli
93,easi instal dryer
94,
95,use clamp rather use screw clamp fit well proper height
96,must washer
97,use hose replac origin equip rubber hose previou experi hose gave peac mind would away home extend vacat expect year leak free use
98,hose includ machin need otherwis would fine
99,hard come worth
100,get burner cover store use easi glad found amazon futur need valu price come good dealer
101,good
102,great product
103,cheap
104,good job
105,receiv ok
106,price go applianc part look elsewher save money sooooo minut tube look video show instal element could save buck mr burk
107,work great thank
108,great product
109,good job
110,advertis
111,great price keep one stock
112,great need
113,consid wisdom spend lot money replac part year old washer origin bought one cheaper part could see get one mayb lid switch motor coupl problem motor clutch timer electr part might want think get anoth top loader like amana stop carri store year
114,work great quiet much quieter origin motor hood fan faster would recommend one need fan motor
115,bought last octob final got around clean foot dryer duct run type thing top list like wow go see movi clean dryer duct howev dryer dri slower slower knew task need tackl read long instruct book began work instruct realli need written simplifi soni tv smaller instruct manual appreci manufactur thorough short attent span quick start guid screw rod togeth use electr duct tape reinforc joint keep unscrew work stick one end rod drill set clutch pretti close lowest second lowest set increas power need attach brush end rod suppli key wrench allen wrench tighten make sure drill clockwis revers mode els rod unscrew insid duct screw read turn dryer air mode insert brush pipe outsid begin spin activ drill push foot pull watch lint fli push feet pull watch lint fli feet etc marvel much lint came marvel fast dryer come write review wash cloth wear cover lint hope help quick job well worth troubl
116,foot solid dryer vent pipe end right angl go floor flexibl dryer vent hose come dryer get behind dryer without move washer dryer heavi lazi decid clean vent outsid hous inward use vacuum cleaner blower suction kind tighten section tube plier tape thread foot tube brush end outsid vent back got good amount lint clod turn dryer blow everyth got air come fear come true forc gob lint right angl end run still want move washer dryer figur tri one thing use clodbust attach realli get lazi tighten tube section hand plier use tape push foot tube vent hit resist turn tube hand lazi hook drill pull lint came resign move washer dryer figur might well turn dryer see happen lot lint clod blew kept come second attach pictur realli happi product work shortcut took probabl work great point refer built hous five year ago first time ever clean vent load ten bath towel use take minut dri late take hour knew put clean pipe longer
117,life come year old review dryer vent cleaner sit kitchen tabl wait american idol envis tell much kid think happen sorri burst bubbl said product work great dryer pretti much stop work think need new one serious go eat plastic surgeri budget one last shot trip applianc store gardu linteat husband handi one famili work torn labrum sound dirtier part shoulder clumsiest man world absolut problem use warn read direct first actual listen follow hook drill away went got bunch musti wet lint probabl insid wall sinc probabl consist bell bottom materi macram dryer actual dri cloth continu save facelift thank gardu
118,review gardu rle linteat piec rotari dryer vent clean system weve pay per visit servic guy applianc store come everi month clean flexibl duct that rout less optim manner due locat varieti road block dryer outsid wall knew time come clean cloth dri well right near end realli need clean would actual water floor dryer use vacat day lose recent home first time came watch process thought that research linteat pretti clearli way go made purchas youv got love amazon prime like product weigh number posit review hand bad one bad review like peopl mechan challeng read manual watch youtub video get idea process work pictur twist rod someon one speed high clutch high use clutch drill push impass bend obstruct vent pipe disconnect broke vent pipe rod cant come apart run drill clockwis that simpl physic simpli cant come apart use clockwis brush head broke strip go like twist rod speed high clutch high use clutch drill push impass bend obstruct vent pipe clockwis go back vent tube cordless drill ridgid model r clutch goe switch mark overal speed set clutch four speed one drill hole drive screw go hard fast slow easi win particular race put red loctit thread locker thread attach rotari brush head rod set screw ad section tighten pair plier section wrap electr tape coupl time around join section common sens insur disast femal end rod go drill chuck knurl problem spin chuck slow speed minim torqu probabl issu note think id need extra rod extens came back order get done half insid hous half outsid insid hous vent pipe disconnect dryer use vent insert vent pipe end ridgid hp shop vac clean tool rod provid hole insert work fantast well clean vac filter coupl time due lint outsid hous bother vacuum figur bird would get whatev lint found element would break pretti quickli turn dryer blow loosen lint clean pipe wear googl someth keep lint dust eye go
119,lint eater amaz recent bought hous built previous own older ladi assum dryer vent never clean set dryer want give vent line thorough clean safeti sake help dryer run effici possibl well glad exterior cover vent gone time amount leav pine needl plu lint wad got shock seem like everi time ran linteat line dislodg anoth fist size wad stuff first hook shop vac insid hous went vent exit almost zero air get suck wad huge kept stop shop vac hose keep go insid clean said done vent line free flow work good new glad spent money product help tip start jam rod togeth tri work vent line way unwieldi way everi time hit power drill rod get kink knot flexibl start one one get way vent line add anoth repeat necessari much easier time
120,first contrapt littl confus read direct time felt okay go project fulli confid lot warn make sure drill go right way turn right way lose rod dryer vent scare littl howev project turn realli well lose rod thank got bird nest taken resid dryer vent part lint catcher conveni well actual recommend use least month order clean lint catcher need keep conveni put togeth tape rod time realli use coupl minut howev handi space keep alreadi togeth see would even better keep clean lint
121,great product need includ rod kit buy second set rod still enough ill end spend dollar kit terribl factor would get charg town still plastic rod brush attach that overpr someth simpl enough complain overpr get review work great idiot use common sens use alway clockwis alway clockwis cant anymor clear use electr tape duct tape backup case screw number good safeti measur take second per rod wrap tape feed one rod time tape one go dont forc rod get resist drill attach get resist remov drill rod use hand wiggl shift rod get past resist reconnect drill continu like reach resist like one two thing larg bend duct lot blockag number start pull rod without drill attach drill remain attach rememb alway spin clockwis youv probabl hit patch lint clog heavili one area pull rod like pull larg portion lint youv broken loos rod brush attach vacuum blow leaf blower start disconnect rod step take time hand feed rod brush back ensur damag rod youv reach end vent start pull rod way went clockwis catch debri might miss initi clean push brush time total differ side vent sinc short rod use leaf blower time ensur push lint exterior hous never blow leaf blower hous blow outsid hous unless want huge mess hous lastli id recommend use face mask respir mask stuff messi know what grow cheap carpentri mask use better version next time clean fun breath
122,first thing first work kit great consist price right think call someon clean dryer vent got quot way buck abl need invest bit construct vacuum cost buck start save basic second time what brush broke insid vent pull ye use drill piec came except round brush climb attic push side come suppos easi task end spend hour extra climb attic disassembl hvac pipe get push brush anoth minu kit fairli bendi go smoothli flexibl insul pipe like push pipe connector said vent duct doesnt mani bend want take risk mayb defect kit brush broke might save lot money
123,work great use extens kit extra rod clean foot long vent two right angl turn fantast job adapt let put rod attach shop vac got ton lint gallon bucket full insid vent left shini clean good safeti especi long vent surpris dryer actual work quit bit better auto cycl use run dri heavi thing like jean blanket comfort etc fulli dri thing one cycl take less time go auto dri cycl want clean potenti fire hazard realli make big differ run dirti vent vs clean one might due long length vent happi product
124,anyon think problem lint look pictur hous year old came vent even includ clean dryer filter dryer unit product easi use definit suggest tape junction make sure separ vent broke clean clean fist clean brush first extens ensur section clean ad second forth brush came clean given length brush four section found easier anoth set hand guid brush vent set oper drill notic turn dryer back lint dislodg blew outsid vent open unfortun case lodg slat keep vent open fulli close make trip ladder ground dri littl remov piec littl price pay clean vent
125,bought last octob final got around clean foot dryer duct run type thing top list like wow go see movi clean dryer duct howev dryer dri slower slower knew task need tackl read long instruct book began work instruct realli need written simplifi soni tv smaller instruct manual appreci manufactur thorough short attent span quick start guid screw rod togeth use electr duct tape reinforc joint keep unscrew work stick one end rod drill set clutch pretti close lowest second lowest set increas power need attach brush end rod suppli key wrench allen wrench tighten make sure drill clockwis revers mode els rod unscrew insid duct screw read turn dryer air mode insert brush pipe outsid begin spin activ drill push foot pull watch lint fli push feet pull watch lint fli feet etc marvel much lint came marvel fast dryer come write review wash cloth wear cover lint hope help quick job well worth troubl
126,foot solid dryer vent pipe end right angl go floor flexibl dryer vent hose come dryer get behind dryer without move washer dryer heavi lazi decid clean vent outsid hous inward use vacuum cleaner blower suction kind tighten section tube plier tape thread foot tube brush end outsid vent back got good amount lint clod turn dryer blow everyth got air come fear come true forc gob lint right angl end run still want move washer dryer figur tri one thing use clodbust attach realli get lazi tighten tube section hand plier use tape push foot tube vent hit resist turn tube hand lazi hook drill pull lint came resign move washer dryer figur might well turn dryer see happen lot lint clod blew kept come second attach pictur realli happi product work shortcut took probabl work great point refer built hous five year ago first time ever clean vent load ten bath towel use take minut dri late take hour knew put clean pipe longer
